Name,Website,Location,LinkedIn company page,Description,Investment Focus Areas,Stage
Accomplice,https://accomplice.co,"Cambridge,Massachusetts,United States",https://www.linkedin.com/company/accomplice-vc,Accomplice is a seed-led venture capital firm that primarily invests in technology startup companies.,,"Pre-seed,Seed"
Acies Investments,https://aciesinvestments.com,"Manhattan Beach,California,United States",https://www.linkedin.com/company/acies-investments,"Acies Investments is an industry-dedicated venture capital to the sports wagering & sports technology, iGaming and esports industries.","Gaming,Sports","Seed,A-round"
ACME Capital,https://www.acme.vc/,"San Francisco,California,United States",https://www.linkedin.com/company/acme-vc,ACME Capital invests in breakthrough technologies that fuel platform shifts and disruptive business models that capitalize on new platforms.,,"Pre-seed,Seed,A-round"
Acorn Bioventures,http://www.acornbioventures.com,"New York,United States",https://www.linkedin.com/company/acorn-bioventures/,"Acorn Bioventures is a private and small capitalization biotech, specialty pharma and medical device companies.","Biotechnology,Healthcare",A-round
Acorn Innovestments,http://www.acorninnovestments.com,"Durham,North Carolina,United States",https://www.linkedin.com/company/3503080/,"Acorn Innovestments is a seed-stage and early-stage venture capital fund located in Durham, North Carolina.  Acorn primarily invests in companies that manufacture products out of advanced materials to solve environmental problems.  For more information about Acorn, visit www.acorninnovestments.com",Climate,Seed
Acquired Wisdom Fund,https://awf.vc/,"Mountain View,California,United States",https://www.linkedin.com/company/awfvc/posts/,Acquired Wisdom Fund (AWF.VC) helps seasoned professionals create scalable technology products. We invest in early stage tech startups.,,Pre-seed
Acre Venture Partners,https://acre.vc,"Santa Monica,California,United States",https://www.linkedin.com/company/acre-venture-partners-lp,Acre is a venture capital fund that invests in food and agriculture.,Agriculture/agtech,"Pre-seed,Seed,A-round"
Acronym Venture Capital,https://acronymvc.com/,"Palm Beach,Florida,United States",https://www.linkedin.com/company/acronymvc,Acronym Venture Capital is a Late Seed / Series A venture fund that backs enterprise SaasS and omni channel consumer brands.,"Consumer Products & Services,SaaS","Seed,A-round"
Act One Ventures,http://www.actoneventures.com,"Los Angeles,California,United States",https://www.linkedin.com/company/act-one-ventures-lp,Act One Ventures is a pre-seed and seed-stage fund that leads rounds in business software.,,"Pre-seed,Seed,A-round"
Action Ventures,http://action.ventures,"Los Angeles,California,United States",https://www.linkedin.com/company/action-venture-fund,Action Ventures is a Venture Capital firm based in Los Angeles investing in high-performance technology startups and radical founders,,Seed
Activate Capital Partners,https://activatecp.com,"San Francisco,California,United States",https://www.linkedin.com/company/activatecapital,"Activate Capital is a growth-stage venture capital firm investing in the sustainable, resilient transformation of the global economy. Our strategy centers on the belief that large-scale, climate and technology-driven shifts are underway, transforming how we power, produce, and move economic activity. We believe that this sustainability supercycle is contributing to the widespread disruption of global economic systems and represents a generational investment opportunity to rebuild core systems and infrastructure over the coming decades. Activate partners with technology companies at their inflection point, led by exceptional entrepreneurs with ambitions to build category-defining platforms of the future.",Climate,A-round
Activate Venture Partners,https://www.activatevp.com/,"New York,United States",http://www.linkedin.com/company/119359,Activate Venture Partners is an early-stage venture capital for high growth technology companies.,,A-round
Active Capital,http://www.activecapital.com,"San Antonio,Texas,United States",https://www.linkedin.com/company/activecapital,Active Capital is a venture firm focused on leading seed rounds to B2B and SaaS companies.,"B2B,SaaS","Pre-seed,Seed,A-round"
Flucas Ventures,https://www.flucasvc.com/,"West Palm Beach,Florida,United States",https://www.linkedin.com/company/flucas-ventures/,"Active, multi-stage, multi-sector venture capital investor. I will syndicate all deals where I have an allocation and the founder allows it. I'm also amenable to co-syndicating deals where there are synergies.",,"Seed,A-round"
Acumen America,https://acumen.org/america,"New York,United States",https://www.linkedin.com/company/acumen-fund,Acumen America makes early stage venture capital investments in businesses focused on tackling poverty across the United States,,"Pre-seed,Seed,A-round"
Adapt Ventures,http://www.adaptvc.com,"Miami,Florida,United States",https://www.linkedin.com/company/adaptvc/,"Adapt Ventures is an early-stage venture capital firm backing audacious founders with bold visions. Verticals: Fintech, Software, Consumer, Healthcare","Healthcare,Fintech,Consumer Products & Services","Pre-seed,Seed,A-round"
Adjuvant Capital,https://adjuvantcapital.com,"New York,United States",https://www.linkedin.com/company/adjuvant-capital/,Adjuvant Capital is a life sciences investment firm focused on global health. We make $10-$25 million investments in ambitious companies targeting opportunities in high burden and neglected disease.,"Biotechnology,Healthcare",A-round
Advance Ventures,http://www.advanceventures.com,"Campbell,California,United States",https://www.linkedin.com/company/2932991/,"Advance Ventures, a Silicon Valley-based venture investment fund and venture accelerator that invests in seed and early-stage start-ups across three core sectors; Sustainability (AgTech, CleanTech & FoodTech) Communication (IoT, Mobile & Security) and Information Technology (Enterprise, Consumer Facing). Founded in 1999, Advance Ventures has consistently achieved meaningful exits with its portfolio companies across its core market sectors. Advance Ventures actively assists its entrepreneurs build great companies by dedicating significant time to each portfolio company and by leveraging our deep domain expertise in our core investment sectors. The Advance Ventures team of proven entrepreneurs, investment bankers and venture capitalists work closely with emerging growth companies through our venture acceleration group to create strategies to seize new opportunities, grow their businesses, and increase shareholder value.","Agriculture/agtech,Climate,Consumer Products & Services,Defense & Security,Food/Foodtech",Seed
Black Jays,http://blackjays.vc,"New York,United States",https://www.linkedin.com/company/10981530/,"Advances in technology and changes in consumer behavior present seismic opportunities for new entrants to disrupt legacy industries. At Black Jays we help passionate founders grow their startups into strong, sustainable, commercially successful enterprises. We invest early and actively support our companies as they grow.",Consumer Products & Services,A-round
Advancit Capital,http://www.advancitcapital.com,"Norwood,Massachusetts,United States",https://www.linkedin.com/company/2992821?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A2992821%2Cidx%3A1-1-1%2CtarId%3A1439848986804%2Ctas%3AAdvancit%20Capital,"Advancit Capital focuses on early-stage companies at the intersection of media, entertainment, and technology.",Media & Entertainment,"Pre-seed,Seed,A-round"
Adventus Ventures,http://adventusvc.com,"Irvine,California,United States",https://www.linkedin.com/company/13644506/,"Adventus Ventures Corp. is a small venture capitalist group with experienced executives identifying and developing medical technologies both internally and externally. It is a medical device incubator for those start up organizations who have true ideas for developing transformational technologies, but lack fund. Adventus VC not only offers seed funding, corporate financing, IPO, and venture like other VC firms but also guides and supports with their expert advice and technical assistance. The outspread industry network of the firm with expert professionals assists start ups in rapid development and smooth commercial release of new medical devices.","Hardware,Healthcare,SaaS",Seed
AF Ventures,http://www.afventures.vc/,"New York,United States",https://www.linkedin.com/company/afventures/,"AF Ventures is a consumer fund investing in emerging growth stage businesses across food & beverage, health & wellness, personal & household care, beauty and pet. We typically look for companies between $5-30M+ of topline revenue at the time of investment with fundamentally sound unit economics that allow for sustainable growth. With over 25 portfolio companies, we have deep connectivity throughout the consumer packaged goods ecosystem having been an early pioneer in the space and growing the franchise over multiple funds. For more information on AF Ventures, visit www.afventures.vc.","Consumer Products & Services,Healthcare,Wellness",A-round
Afore Capital,http://afore.vc/,"San Francisco,California,United States",https://www.linkedin.com/company/aforecapital,"Afore Capital is a Pre-Seed VC with $300 million in AUM co-founded by Anamitra Banerji & Gaurav Jain. We support product-oriented founders building software companies at the very earliest stages. Our sweet spot is investing $1-2m+ into founders' first institutional round. We can lead this round alongside high value angels.

At Afore, we believe that before there's a company, before there's a business, there's a product-oriented founder leading by product. The products are often raw, sometimes just rough concepts requiring a lot of imagination. They are pre-traction and pre-obvious. But they come from founders with non-obvious insights and infectious ambitions.",,"Pre-seed,Seed,A-round"
Afriglocal Vc,https://afriglocalvc.vclab.fund,"Maryland,New York,United States",https://www.linkedin.com/company/90878135/,"AfriGloCal is a women-led Pre-seed/Seed stage Venture Capital firm intentionally set up towards building the African future by investing in entrepreneurs with solutions to hard problems with global perspectives. We focus on organizations leveraging cutting-edge technology towards scale, growth, and measurable impact in high-yield markets including the underserved markets. Of particular interest in our portfolio selection is the drive towards Wealth Creation, GloCal visioning, and gender-balanced representation. In return, we support our portfolio members beyond capital with networks that accelerate their footprints into new local, regional, and international markets and handshakes for follow-on investments, driven by our mission to drive profitability and sustainability of our investee companies.","Climate,Deep-Tech,Emerging Markets,Female-led",Pre-seed
Liebenthal Ventures,http://liebenthalventures.com,"Old Westbury,New York,United States",https://www.linkedin.com/company/18104368/,"After fielding success in both the real estate and public equity investment categories, in 2013 Liebenthal Holdings expanded to the startup/venture capital space, further diversifying our risk portfolio. At that point, Liebenthal Ventures was born. Our first investment was in LoopPay which in 15 months had a highly successful takeout to Samsung and is now Samsung Pay. We have since made 24 investments and have had two additional exits.

Our thesis is simple and makes us different from other venture firms. A particular industry is not included nor excluded from our investable mix on its face. An ingenious idea/product and a founding team with passion, smarts, and integrity would be the elements that we would consider paramount for any startup investment. Our angel/seed investments would be in the range of $25K-$500K depending on the opportunity, with the average check size being $150K.

Exits:
Loop Pay (Acquired by Samsung)
Swag.com (Acquired by Custom Ink)
Wise Telemetry (Acquired by Otodata)

Active Portfolio Companies:
Accern
Airworks
BabyQuip
BotFactory
Fohlio
Forest Devices
GoSun
HappsNow
Hevo
Kwant.AI
Manus Bio
Matchbook AI
OV Loop
Perch
PerfectQuote
Proteus
Prevu
Recess
RookMotion
SimplyAgree
TimeLooper
Twiage","Hardware,Real Estate",Seed
AgFunder,http://agfunder.com,"San Francisco,California,United States",http://www.linkedin.com/company/agfunder,AgFunder invests in impactful companies that can positively transform the world's food system.,,"Pre-seed,Seed,A-round"
Agya Ventures,https://agyaventures.com/,"New York,United States",https://www.linkedin.com/company/agya-ventures,"Agya Ventures is an early-stage venture capital fund, investing in the future of the built world and the metaverse.",,"Pre-seed,Seed,A-round"
AIX Ventures,https://aixventures.com/,"San Francisco,California,United States",https://www.linkedin.com/company/aixventures,AIX Ventures is an AI-focused venture firm investing in Pre/Seed startups for Fund I. AI practitioners investing into AI powered companies,AI & Machine Learning,"Pre-seed,Seed,A-round"
Akinned,http://akinned.com,"San Juan,Texas,United States",https://www.linkedin.com/company/76644617/,"aKinned is a seed stage fund backing African health-tech, channeling expertise and capital from top international markets into companies focused on affordable, accessible healthcare.","Emerging Markets,Healthcare",Seed
Album VC,http://www.album.vc,"Lehi,Utah,United States",https://www.linkedin.com/company/albumvc/,"Album VC is a venture capital firm that invests in early-stage technology ventures, shaping the future of technology and culture.",,"Pre-seed,Seed,A-round"
Alder Capital Partners,http://www.aldercp.com,"Marietta,Georgia,United States",https://www.linkedin.com/company/10635597/,"ALDER Capital Partners The Alder Group offers sophisticated private equity investment opportunities for accredited investors in various asset classes, including: Single Family Residential (SFR), Small and medium-sized operating businesses, Real estate transactional & bridge lending, Seed & Venture, High-yield, collateralized debt investments, Lending on Multifamily Residential (MFR), Specialized equipment and infrastructure JV deals, Distressed asset acquisitions & dispositions

- Single Family Residential (SFR)
- Small and medium-sized operating businesses
- Real estate transactional & bridge lending
- Seed & Venture
- High-yield, collateralized debt investments
- Lending on Multifamily Residential (MFR)
- High-yield lending on professional athlete employment contracts
- Distressed asset acquisitions & dispositions",Real Estate,Seed
ALIAVIA Ventures,https://aliavia.vc,"Los Angeles,California,United States",https://www.linkedin.com/company/aliavia-vc,ALIAVIA Ventures is a California based firm focused on early stage venture capital investing in U.S. and Australian based female founders building world-changing enterprise and consumer tech companies.,Consumer Products & Services,"Pre-seed,Seed,A-round"
Allos Ventures,http://allosventures.com,"Carmel,Indiana,United States",https://www.linkedin.com/company/allos-ventures,"Allos Ventures is a venture capital firm that invests in high-potential, early-stage tech companies in the heart of the Midwest. The Midwest is starting to get the recognition it deserves. There’s just one problem: too many good ideas, not enough money.",SaaS,Pre-seed
Allstate Strategic Ventures,https://www.allstateinvestments.com,"Northbrook,Illinois,United States",https://www.linkedin.com/company/allstate-strategic-ventures,Allstate Strategic Ventures invests in early stage startups that provide investment and business value to Allstate Insurance Company.,Fintech,A-round
Alpaca VC,http://www.alpaca.vc,"New York,United States",https://www.linkedin.com/company/alpacavc,Alpaca VC is a thematic venture capital firm that invests in the intersections of the digital and physical worlds.,,"Pre-seed,Seed,A-round"
Alpha Edison,http://www.alphaedison.com/,"Los Angeles,California,United States",https://www.linkedin.com/company/17926982/,Alpha Edison is a venture capital firm that focuses on technology-driven innovation.,,"Pre-seed,Seed,A-round"
Alpha4 Ventures,http://www.alpha4ventures.com/,"Delaware,Ohio,United States",https://in.linkedin.com/company/alpha4-ventures,"Alpha4 Ventures is a venture capital firm specializing in startups, early stage and growth capital investments. focused on Latin American tech companies: eCommerce, Fintech, SaaS/Marketplaces and High Tech.","Fintech,Marketplaces,SaaS",Pre-seed
AlphablockZ,https://alphablockz.io,"Ellendale,Delaware,United States",https://www.linkedin.com/company/alphablockz,AlphablockZ is a venture capital firm focuses on blockchain and cryptocurrency sectors.,Blockchain & Cryptocurrency,Seed
Alpine 100,https://alpine100.com,"Alpine,Utah,United States",https://www.linkedin.com/company/alpine100,"Alpine 100 works with the top 100 new growth companies in the Silicon Slopes region near Alpine, UT. Services include: Funding sources, Venture Capital sources, Private Equity sources, coaching executives on scaling their company, representing your company to financial partners, board advisory services and helping companies grow to the next level. Companies not quite ready for financing can benefit by being coached and mentored at no cost until such time funding or financing is ready to be secured.",,Seed
Alta Global Ventures,https://altaglobal.com/,"Lehi,Utah,United States",https://www.linkedin.com/company/18723788/,"Alta Global Ventures is global venture capital fund supporting leading entrepreneurs from the top entrepreneur ecosystems around the world as they expand their business internationally. Alta Global invests directly into venture stage and growth stage technology companies targeting high-growth markets. Through our global partner network, Alta Global also supports seed stage companies in more than 20 countries and five continents around the world. ",,Seed
Alta Partners,http://www.altapartners.com,"Jackson,Mississippi,United States",https://www.linkedin.com/company/alta-partners/,Alta Partners is a venture capital firm investing in the healthcare and life sciences sector.,"Biotechnology,Healthcare",A-round
Alter Global,http://alter.vc,"San Francisco,California,United States",https://www.linkedin.com/company/alter-global/,"Alter Global is a venture capital firm investing in early-stage startups within emerging markets such as Southeast Asia, Latin America, the Middle East and Africa. Since 2015, we’ve partnered with more than 44 exceptional ventures across 24 cities. We believe in the theory of individual change, supporting high-character founders who are building not only their companies, but their communities and countries as well. We match our founders with talent, expertise, and investments from Silicon Valley and beyond.",Emerging Markets,"Pre-seed,Seed,A-round"
Altruis Capital,http://altruiscapital.com/,"Michigan,United States",https://www.linkedin.com/company/24999322/,"Altruis Capital is a pre-seed investment firm that believes in ideas and invests in passion. Altruis Capital is made up of a group of Greater Lansing, MI individuals that believe in early stage startups and have come together to push them forward with capital and expertise. We offer capital, mentorship, and a network of people that assists founders in building their companies.",,Pre-seed
Amasia,https://www.amasia.vc,"Burlingame,California,United States",https://www.linkedin.com/company/amasia,"Amasia is a thesis-driven, global venture capital firm currently focused on sustainability and climate.",Climate,"Pre-seed,Seed,A-round"
Ambit Health Ventures,https://ambithealthventures.com/,"Newton,Massachusetts,United States",https://www.linkedin.com/company/ambit-health-ventures,Ambit Health Ventures is a healthcare venture capital firm that focuses on investments in early-stage digital health and MedTech firms.,"Education,Healthcare",Pre-seed
Amboy Street Ventures,https://www.amboystreet.vc/,"Los Angeles,California,United States",https://www.linkedin.com/company/47651749,Amboy Street Ventures focuses on sexual health and women’s health technology startups.,Healthcare,A-round
AME Cloud Ventures,http://www.amecloudventures.com,"Palo Alto,California,United States",https://www.linkedin.com/company/ame-cloud-ventures,AME Cloud Ventures invests in seed to later-stage tech companies that build infrastructure and value chains around data.,,A-round
AMED Ventures,https://www.amedventures.com/,"San Francisco,California,United States",https://www.linkedin.com/company/amed-ventures/,AMED Ventures is a venture capital investment in entrepreneurs and MedTech innovations.,Education,A-round
American Family Ventures,http://amfamventures.com/,"Madison,Wisconsin,United States",https://www.linkedin.com/company/american-family-insurance,American Family Ventures invests in early-stage startups that are redefining the future of the insurance industry.,Fintech,A-round
Amicus Capital,http://www.amicuscapital.com,"San Francisco,California,United States",https://www.linkedin.com/company/amicus-capital-l.p.,Amicus Capital is a seed stage information technology investment fund. We invest in entrepreneurs who are developing innovative information technology solutions to problems that affect large numbers of businesses or consumers.,Consumer Products & Services,"Pre-seed,Seed,A-round"
Amity Ventures,http://www.amity.vc/,"San Francisco,California,United States",https://www.linkedin.com/company/amity-ventures/,Amity Ventures is a venture capital firm that supports founders in building category-defining businesses.,,"Pre-seed,Seed,A-round"
Amplify Partners,http://www.amplifypartners.com,"Menlo Park,California,United States",https://www.linkedin.com/company/2926380,"Amplify Partners is an early-stage investor for technical founders building the future of developer tools, AI and ML, data, and cybersecurity.
","AI & Machine Learning,Cybersecurity","Pre-seed,Seed,A-round"
Amplo,http://amplovc.com,"Spring,Texas,United States",https://www.linkedin.com/company/amplovc,Amplo is a global venture capital firm helping build companies that matter.,,"Pre-seed,Seed,A-round"
Asset Management Ventures (AMV),http://www.assetman.com,"Palo Alto,California,United States",http://www.linkedin.com/company/asset-management-ventures,"AMV is a venture capital firm investing in early-stage digital health, tech, and life sciences companies.","Healthcare,Biotechnology","Pre-seed,Seed,A-round"
Behind Genius Ventures,https://behindgeniusventures.com,"Pasadena,California,United States",https://www.linkedin.com/company/behind-genius-ventures,An early stage venture firm investing in the future of work and the future of play. Behind Genius Ventures invests in pre-seed/seed stage companies centered around product led growth.,,Pre-seed
Oakhurst Ventures,https://www.oakhurstvc.com/,"Beverly Hills,California,United States",https://www.linkedin.com/company/70505619/,"An early-stage fund and platform to matchmake A-list talent to promising seed-stage startups and invest in them to help build category-defining businesses. We believe the next generation of consumer companies will be built at the intersection of celebrity, media, and consumer technology. A subsidiary of Oakhurst Entertainment.

Contact: jai@oakhurstvc.com","Consumer Products & Services,Media & Entertainment",Seed
FreshTracks Capital,http://www.freshtrackscap.com,"Shelburne,Vermont,United States",http://www.linkedin.com/company/1075685,"An early-stage venture capital firm focused on financing businesses in Vermont and surrounding regions, FreshTracks’ expertise, networks, resources and capital support innovative businesses through multiple rounds of financing and stages of growth.",,"Pre-seed,Seed,A-round"
Erez Capital,http://erezcapital.io,"Boston,Massachusetts,United States",https://www.linkedin.com/company/erez-capital/,"An early-stage venture capital firm in Boston, investing in pre-seed startup companies at the forefront of digital transformation.",,Pre-seed
Regeneration.VC,https://www.regeneration.vc/,"Los Angeles,California,United States",https://www.linkedin.com/company/regenerationvc/,An early-stage venture fund supercharging consumer-powered climate innovation driven by circular and regenerative principles,Consumer Products & Services,"Seed,A-round"
The Fintech Fund,https://www.thefintechfund.com,"New York,United States",https://www.linkedin.com/company/fintechfund/,An early-stage venture fund supporting the best teams in fintech and defi today.,Fintech,A-round
Able Partners,https://ablepartners.nyc/,"New York,United States",https://www.linkedin.com/company/ablepartners,"An investment partnership supporting passionate entrepreneurs and inspiring brands that will make the daily lives of people healthier, happier, and more enlightened","Consumer Products & Services,Healthcare",A-round
Aloft VC,https://www.aloftvc.com/,"San Francisco,California,United States",https://www.linkedin.com/company/anathem-ventures/,Anathem Ventures is now Aloft VC. Aloft VC is a venture capital fund that invests in early stage technology companies built by mission-driven founders whose products solve an urgent problem and fill an essential need in healthcare and national security.,"Defense & Security,Healthcare",A-round
Andav Capital,http://www.andavcapital.com,"New York,United States",https://www.linkedin.com/company/andavcapital/,Andav Capital is a New York-based venture capital firm that invests in early-stage tech-enabled companies.,,Pre-seed
Maple VC,http://maplevc.com,"San Francisco,California,United States",https://www.linkedin.com/company/maple-vc/,"Angel fund investing in exceptional founders. Portfolio of early stage investments include Ritual, Clay, Setter, Virtual Kitchen, RenoRun and Aalto.",,A-round
Ankona Capital Partners,https://www.ankona.com,"Newport Beach,California,United States",https://www.linkedin.com/company/ankona/,Ankona Capital Partners is a founder-focused capital for early growth-stage software companies.,,A-round
Anorak Ventures,http://www.anorak.vc/,"San Francisco,California,United States",https://www.linkedin.com/company/anorak-ventures,"Anorak Ventures is an early stage venture capital firm based in San Francisco. We are focused on frontier technology, specifically virtual & augmented reality, computer vision, robotics, autonomous vehicles, and IOT. The fund targets super specialized teams, solving difficult technical problems with the potential to form the underpinnings of future technology.","AI & Machine Learning,Virtual & Augmented Reality","Pre-seed,Seed,A-round"
Anthos Capital,http://www.anthoscapital.com,"Santa Monica,California,United States",https://www.linkedin.com/company/anthos-capital/,Anthos partners with innovative consumer and technology companies shaping the future.,Consumer Products & Services,Pre-seed
Apa Venture Partners,https://www.apavp.com/,"San Francisco,California,United States",https://www.linkedin.com/company/42944467/,"APA VP is a pre-seed and seed-stage VC fund that invests in Healthcare, B2B SaaS, and consumer technology companies.","Healthcare,Consumer Products & Services,SaaS,B2B",Pre-seed
AperiamVentures,https://www.aperiam.vc,"New York,United States",https://www.linkedin.com/company/aperiamventures,AperiamVentures is an early-stage venture capital firm investing in marketing and advertising technology startups.,,"Pre-seed,Seed,A-round"
Appsrica,http://appsrica.com/index.html,United States,https://www.linkedin.com/company/9459483/,"Appsrica LLC is a Seattle, WA based investment firm focusing on leading startup investments in companies showing high-growth potential in the Internet and Technology space. Appsrica brings over 20 years of experience in various types of investments including Seed Financing and Early Stage Venture Capital.",,Seed
Arboretum Ventures,http://www.arboretumvc.com,"Ann Arbor,Michigan,United States",https://www.linkedin.com/company/8618384?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A8618384%2Cidx%3A1-1-1%2CtarId%3A1442159257291%2Ctas%3AArboretum%20Ventures,Arboretum Ventures is a Michigan-based venture capital firm investing in medical technology and healthcare companies.,Healthcare,A-round
Arena Holdings,http://www.arenaholdings.com/,"New York,United States",https://www.linkedin.com/company/arenaholdings/,Arena Holdings is a venture capital investment firm that focuses on technology-enabled innovation.,,A-round
Aries Capital Partners,https://ariescapitalpartners.com/,"Salt Lake City,Utah,United States",https://www.linkedin.com/company/aries-capital-partners,"Aries Capital Partners builds businesses through investment and deep expertise in strategy, finance, marketing, IT, and management.",,A-round
